,0
1,0.32653061224489793
2,0.0
3,0.02040816326530612
4,0.04081632653061224
753,0.0
754,0.24489795918367346
6,0.2857142857142857
7,0.0
8,0.20408163265306123
11,0.2857142857142857
12,0.0
13,0.2857142857142857
15,0.0
18,0.0
19,0.0
755,0.0
756,0.20408163265306123
26,0.20408163265306123
28,0.20408163265306123
757,0.20408163265306123
29,0.04081632653061224
11300,0.04081632653061224
11301,0.3469387755102041
11355,0.02040816326530612
31,0.24489795918367346
33,0.04081632653061224
34,0.061224489795918366
35,0.061224489795918366
760,0.0
761,0.0
40,0.10204081632653061
41,0.04081632653061224
42,0.04081632653061224
43,0.24489795918367346
44,0.0
45,0.0
46,0.02040816326530612
47,0.02040816326530612
48,0.22448979591836735
49,0.10204081632653061
762,0.0
763,0.02040816326530612
764,0.24489795918367346
11302,0.0
50,0.061224489795918366
52,0.2653061224489796
54,0.20408163265306123
58,0.02040816326530612
59,0.0
61,0.0
63,0.02040816326530612
64,0.0
65,0.0
66,0.08163265306122448
766,0.0
68,0.0
69,0.061224489795918366
71,0.0
72,0.0
73,0.0
74,0.2653061224489796
768,0.22448979591836735
769,0.2857142857142857
75,0.0
79,0.0
80,0.04081632653061224
11303,0.2857142857142857
82,0.20408163265306123
83,0.0
771,0.0
772,0.04081632653061224
773,0.08163265306122448
84,0.08163265306122448
11304,0.0
85,0.0
86,0.0
89,0.04081632653061224
90,0.2653061224489796
775,0.0
94,0.0
776,0.0
777,0.0
778,0.02040816326530612
779,0.3877551020408163
780,0.2653061224489796
96,0.2653061224489796
97,0.20408163265306123
98,0.20408163265306123
99,0.02040816326530612
101,0.0
102,0.0
781,0.04081632653061224
782,0.0
103,0.46938775510204084
104,0.061224489795918366
11305,0.02040816326530612
11306,0.0
110,0.2653061224489796
784,0.0
785,0.0
786,0.0
115,0.04081632653061224
116,0.08163265306122448
787,0.04081632653061224
117,0.04081632653061224
119,0.0
120,0.20408163265306123
121,0.24489795918367346
789,0.0
122,0.04081632653061224
124,0.0
125,0.04081632653061224
126,0.0
127,0.0
129,0.12244897959183673
130,0.08163265306122448
132,0.20408163265306123
133,0.2653061224489796
135,0.0
136,0.20408163265306123
139,0.2857142857142857
791,0.04081632653061224
141,0.14285714285714285
792,0.20408163265306123
143,0.04081632653061224
144,0.10204081632653061
145,0.0
794,0.0
795,0.3469387755102041
796,0.1836734693877551
148,0.0
11308,0.0
11309,0.0
149,0.061224489795918366
150,0.0
151,0.22448979591836735
11357,0.0
11358,0.061224489795918366
11359,0.04081632653061224
11360,0.2653061224489796
11361,0.1836734693877551
153,0.0
154,0.10204081632653061
155,0.0
156,0.08163265306122448
798,0.20408163265306123
158,0.04081632653061224
159,0.0
