adm_hosp_loc__vumc__ohe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
outcome_restart_in_72h_on_icu,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
agg,25%,50%,75%,count,max,mean,min,missing,std,25%,50%,75%,count,max,mean,min,missing,std,25%,50%,75%,count,max,mean,min,missing,std,25%,50%,75%,count,max,mean,min,missing,std
feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ab_duration_full__days,1.020138888888889,2.6923611111111114,6.3519097222222225,1608.0,164.37083333333334,5.172576354339414,0.0,0.0,7.999902169918854,0.8086805555555555,1.926736111111111,4.708159722222222,464.0,579.0763888888889,5.299028675766283,0.0,0.0,27.365366578044497,2.5756944444444443,4.122222222222222,6.956944444444445,1329.0,67.43055555555556,6.355515320625366,0.0,0.0,7.739989582931342,1.6203125,3.9975694444444443,6.705034722222222,244.0,89.07638888888889,5.376699112021859,0.0,0.0,7.606937264248966
ab_duration_shortest_in_last_24h,0.8578125,1.7413194444444444,3.6793402777777775,1608.0,79.20138888888889,3.018401482172471,0.0,0.0,4.318028280649635,0.5671875,1.0750000000000002,2.5770833333333334,464.0,30.88125,2.139716534961686,0.0,0.0,3.043413172053221,1.8409722222222222,3.5729166666666665,5.2125,1329.0,65.62777777777778,4.413602019061951,0.0,0.0,4.8046497083364805,1.0118055555555556,2.2708333333333335,4.6487847222222225,244.0,20.62986111111111,3.1785348360655736,0.0,0.0,3.0137896038677643
adm_hosp_age,51.0,61.0,70.0,1608.0,94.0,58.82151741293532,18.0,0.0,14.657758744467793,51.0,61.0,69.0,464.0,88.0,58.752155172413794,18.0,0.0,13.996181046918325,54.0,65.0,72.0,1329.0,93.0,61.495109104589915,18.0,0.0,15.632166265283477,53.75,65.0,72.25,244.0,92.0,61.032786885245905,18.0,0.0,16.14412169962608
adm_hosp_loc__amc__ohe,1.0,1.0,1.0,1608.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,464.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1329.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.0,0.0,0.0,0.0,0.0,0.0
adm_hosp_loc__vumc__ohe,0.0,0.0,0.0,1608.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,464.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1329.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,244.0,1.0,1.0,1.0,0.0,0.0
adm_hosp_oper__medical__ohe,0.0,0.0,1.0,1608.0,1.0,0.42661691542288555,0.0,0.0,0.4947394680732316,0.0,0.0,1.0,464.0,1.0,0.4849137931034483,0.0,0.0,0.5003117743987203,0.0,1.0,1.0,1329.0,1.0,0.5011286681715575,0.0,0.0,0.5001869432131859,0.0,0.0,1.0,244.0,1.0,0.44672131147540983,0.0,0.0,0.4981751763940347
